result,sampleDotCode,sampleTime,resultName,deviceName,unitName
63,ST010217,2025-05-22 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
97.2,ST010217,2025-05-22 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.2,ST010217,2025-05-22 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
24.4,ST010217,2025-05-22 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
55.1,ST010217,2025-05-22 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.5,ST010217,2025-05-22 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.3,ST010217,2025-05-22 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
62,ST010217,2025-05-26 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
98.9,ST010217,2025-05-26 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.4,ST010217,2025-05-26 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
24.8,ST010217,2025-05-26 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
57.6,ST010217,2025-05-26 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.6,ST010217,2025-05-26 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.7,ST010217,2025-05-26 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-05-26 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-05-29 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
98.1,ST010217,2025-05-29 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-05-29 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
25.6,ST010217,2025-05-29 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
56.0,ST010217,2025-05-29 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
18.4,ST010217,2025-05-29 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.7,ST010217,2025-05-29 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.07,ST010217,2025-05-29 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-06-02 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
93.4,ST010217,2025-06-02 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-06-02 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
24.2,ST010217,2025-06-02 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
51.8,ST010217,2025-06-02 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
24.1,ST010217,2025-06-02 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.6,ST010217,2025-06-02 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-06-02 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-06-05 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
97.7,ST010217,2025-06-05 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-06-05 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
23.2,ST010217,2025-06-05 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
51.4,ST010217,2025-06-05 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
25.4,ST010217,2025-06-05 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.5,ST010217,2025-06-05 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-06-05 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-06-09 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
98.9,ST010217,2025-06-09 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-06-09 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
22.9,ST010217,2025-06-09 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
56.8,ST010217,2025-06-09 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.3,ST010217,2025-06-09 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.1,ST010217,2025-06-09 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.07,ST010217,2025-06-09 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
94.6,ST010217,2025-06-12 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.2,ST010217,2025-06-12 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
29.7,ST010217,2025-06-12 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
52.8,ST010217,2025-06-12 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.5,ST010217,2025-06-12 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
4.8,ST010217,2025-06-12 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-06-12 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
64,ST010217,2025-06-12 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
62,ST010217,2025-06-16 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
95.8,ST010217,2025-06-16 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.1,ST010217,2025-06-16 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
24.7,ST010217,2025-06-16 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
55.0,ST010217,2025-06-16 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.3,ST010217,2025-06-16 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.6,ST010217,2025-06-16 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.07,ST010217,2025-06-16 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
61,ST010217,2025-06-19 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
96.4,ST010217,2025-06-19 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.1,ST010217,2025-06-19 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
28.2,ST010217,2025-06-19 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
55.3,ST010217,2025-06-19 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
16.5,ST010217,2025-06-19 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
4.0,ST010217,2025-06-19 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-06-19 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-06-23 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
96.2,ST010217,2025-06-23 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.1,ST010217,2025-06-23 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
24.3,ST010217,2025-06-23 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
58.1,ST010217,2025-06-23 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.6,ST010217,2025-06-23 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
2.7,ST010217,2025-06-23 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-06-23 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-06-26 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
94.5,ST010217,2025-06-26 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-06-26 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
27.5,ST010217,2025-06-26 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
54.3,ST010217,2025-06-26 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
18.2,ST010217,2025-06-26 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.9,ST010217,2025-06-26 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-06-26 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-06-30 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
95.0,ST010217,2025-06-30 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.1,ST010217,2025-06-30 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
29.0,ST010217,2025-06-30 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
54.3,ST010217,2025-06-30 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
16.7,ST010217,2025-06-30 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
4.5,ST010217,2025-06-30 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-06-30 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-07-03 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
90.2,ST010217,2025-07-03 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-07-03 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
18.3,ST010217,2025-07-03 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
59.6,ST010217,2025-07-03 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
22.0,ST010217,2025-07-03 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
1.9,ST010217,2025-07-03 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-07-03 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
64,ST010217,2025-07-07 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
85.3,ST010217,2025-07-07 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-07-07 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
18.1,ST010217,2025-07-07 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
59.0,ST010217,2025-07-07 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
22.9,ST010217,2025-07-07 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
1.7,ST010217,2025-07-07 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-07-07 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-07-10 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
83.5,ST010217,2025-07-10 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-07-10 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
19.6,ST010217,2025-07-10 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
60.3,ST010217,2025-07-10 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.1,ST010217,2025-07-10 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
2.2,ST010217,2025-07-10 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-07-10 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-07-14 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
90.3,ST010217,2025-07-14 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.4,ST010217,2025-07-14 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
