result,sampleDotCode,sampleTime,resultName,deviceName,unitName
痕迹水,ST040031,2025-05-01 14:23:00,水含量,延化120万吨/年催化重整装置,
715.3,ST040031,2025-05-01 14:23:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
1.30,ST040031,2025-05-01 14:23:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
35.5,ST040031,2025-05-01 14:23:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
162.3,ST040031,2025-05-01 14:23:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
108.2,ST040031,2025-05-01 14:23:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
144.3,ST040031,2025-05-01 14:23:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
98.0,ST040031,2025-05-01 14:23:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
0.8,ST040031,2025-05-01 14:23:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
63.8,ST040031,2025-05-01 14:23:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
34.4,ST040031,2025-05-03 19:38:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
65.2,ST040031,2025-05-03 19:38:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
108.5,ST040031,2025-05-03 19:38:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
145.0,ST040031,2025-05-03 19:38:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
719.7,ST040031,2025-05-03 19:38:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
98.0,ST040031,2025-05-03 19:38:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
0.8,ST040031,2025-05-03 19:38:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
1.10,ST040031,2025-05-03 19:38:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
痕迹水,ST040031,2025-05-03 19:38:00,水含量,延化120万吨/年催化重整装置,
162.5,ST040031,2025-05-03 19:38:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
35.2,ST040031,2025-05-06 13:10:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
63.1,ST040031,2025-05-06 13:10:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
107.6,ST040031,2025-05-06 13:10:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
144.2,ST040031,2025-05-06 13:10:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
717.4,ST040031,2025-05-06 13:10:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
98.0,ST040031,2025-05-06 13:10:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
0.8,ST040031,2025-05-06 13:10:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
1.30,ST040031,2025-05-06 13:10:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
痕迹水,ST040031,2025-05-06 13:10:00,水含量,延化120万吨/年催化重整装置,
165.4,ST040031,2025-05-06 13:10:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
161.3,ST040031,2025-05-08 21:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
痕迹水,ST040031,2025-05-08 21:00:00,水含量,延化120万吨/年催化重整装置,
716.8,ST040031,2025-05-08 21:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
1.20,ST040031,2025-05-08 21:00:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
143.8,ST040031,2025-05-08 21:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
0.8,ST040031,2025-05-08 21:00:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
33.5,ST040031,2025-05-08 21:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
64.3,ST040031,2025-05-08 21:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
108.2,ST040031,2025-05-08 21:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
98.0,ST040031,2025-05-08 21:00:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
149.3,ST040031,2025-05-10 02:13:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
34.2,ST040031,2025-05-10 02:13:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
65.2,ST040031,2025-05-10 02:13:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
113.8,ST040031,2025-05-10 02:13:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
痕迹水,ST040031,2025-05-10 02:13:00,水含量,延化120万吨/年催化重整装置,
98.0,ST040031,2025-05-10 02:13:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
719.0,ST040031,2025-05-10 02:13:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
0.8,ST040031,2025-05-10 02:13:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
1.50,ST040031,2025-05-10 02:13:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
167.2,ST040031,2025-05-10 02:13:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
34.2,ST040031,2025-05-11 09:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
65.2,ST040031,2025-05-11 09:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
110.8,ST040031,2025-05-11 09:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
149.9,ST040031,2025-05-11 09:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
718.6,ST040031,2025-05-11 09:00:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
169.1,ST040031,2025-05-11 09:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
98.0,ST040031,2025-05-11 09:00:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
0.8,ST040031,2025-05-11 09:00:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
痕迹水,ST040031,2025-05-11 09:00:00,水含量,延化120万吨/年催化重整装置,
1.30,ST040031,2025-05-11 09:00:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
164.1,ST040031,2025-05-12 11:30:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
98.0,ST040031,2025-05-12 11:30:00,全馏,延化120万吨/年催化重整装置,<p>%</p>
0.8,ST040031,2025-05-12 11:30:00,平均残留百分数(B),延化120万吨/年催化重整装置,<p>%</p>
1.30,ST040031,2025-05-12 11:30:00,溴价 gBr/100g,延化120万吨/年催化重整装置,<p>gBr/100g</p>
108.3,ST040031,2025-05-12 11:30:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
717.5,ST040031,2025-05-12 11:30:00,密度,延化120万吨/年催化重整装置,<p>kg/m<sup>3</sup></p>
145.6,ST040031,2025-05-12 11:30:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
34.2,ST040031,2025-05-12 11:30:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
64.8,ST040031,2025-05-12 11:30:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
痕迹水,ST040031,2025-05-12 11:30:00,水含量,延化120万吨/年催化重整装置,
147.1,ST040031,2025-05-12 19:00:00,90%平均蒸发温度T90%,延化120万吨/年催化重整装置,℃
34.1,ST040031,2025-05-12 19:00:00,初馏点蒸发温度 TIBP,延化120万吨/年催化重整装置,℃
64.4,ST040031,2025-05-12 19:00:00,10%平均蒸发温度T10%,延化120万吨/年催化重整装置,℃
113.6,ST040031,2025-05-12 19:00:00,50%平均蒸发温度T50%,延化120万吨/年催化重整装置,℃
165.6,ST040031,2025-05-12 19:00:00,终馏点蒸发温度TFBP,延化120万吨/年催化重整装置,℃
